Age	Gender	Marital Status	Address	Income	Income Category	Job Category
51	f	0	5	30.00	2.00	2
45	f	1	0	38.00	2.00	1
56	f	1	12	50.00	3.00	2
48	m	1	7	41.00	2.00	3
53	f	0	10	52.00	3.00	2
28	m	0	9	28.00	2.00	2
23	m	1	1	15.00	1.00	1
67	f	1	6	44.00	2.00	1
68	m	1	41	25.00	2.00	2
56	m	1	5	46.00	2.00	2
43	f	1	8	109.00	4.00	3
28	m	0	7	24.00	1.00	1
39	f	0	6	57.00	3.00	2
37	m	0	16	24.00	1.00	2
32	f	1	3	30.00	2.00	2
55	f	0	29	65.00	3.00	2
44	f	1	15	60.00	3.00	2
48	m	0	28	321.00	4.00	2
36	m	0	8	51.00	3.00	1
28	f	1	1	67.00	3.00	2
38	m	1	12	50.00	3.00	2
30	f	1	0	20.00	1.00	1
19	f	1	0	13.00	1.00	1
39	m	0	2	43.00	2.00	2
51	f	0	10	75.00	4.00	2
41	f	0	20	248.00	4.00	2
38	m	0	7	42.00	2.00	1
56	f	1	34	376.00	4.00	3
54	m	0	1	28.00	2.00	1
46	f	1	0	23.00	1.00	1
40	f	0	11	34.00	2.00	2
30	f	0	4	23.00	1.00	1
29	m	0	2	25.00	2.00	2
30	f	0	10	27.00	2.00	1
53	m	0	8	168.00	4.00	3
51	m	1	24	140.00	4.00	3
40	m	1	15	57.00	3.00	2
66	f	1	34	30.00	2.00	1
61	m	1	18	23.00	1.00	3
61	f	0	6	64.00	3.00	3
23	m	0	0	19.00	1.00	1
51	m	1	26	86.00	4.00	2
47	m	1	1	28.00	2.00	2
59	f	1	18	209.00	4.00	3
25	f	1	5	27.00	2.00	1
63	m	0	31	478.00	4.00	3
41	f	1	8	49.00	2.00	2
63	m	1	10	246.00	4.00	3
41	f	1	3	27.00	2.00	1
47	f	1	16	64.00	3.00	3
42	f	1	9	49.00	2.00	2
35	f	1	5	49.00	2.00	2
24	m	0	2	23.00	1.00	1
22	f	0	3	23.00	1.00	1
32	m	1	12	59.00	3.00	2
50	m	1	20	58.00	3.00	2
44	m	1	8	46.00	2.00	3
32	m	1	12	31.00	2.00	1
65	f	0	43	40.00	2.00	2
47	f	0	21	181.00	4.00	3
41	m	0	13	79.00	4.00	3
48	f	0	29	144.00	4.00	2
29	m	1	4	22.00	1.00	1
32	m	0	0	25.00	2.00	2
30	f	0	1	51.00	3.00	2
53	f	0	34	136.00	4.00	3
58	m	0	27	385.00	4.00	3
26	m	0	6	41.00	2.00	1
25	m	1	6	23.00	1.00	1
51	f	1	20	78.00	4.00	2
62	f	1	5	49.00	2.00	2
46	f	0	7	83.00	4.00	2
32	m	1	13	45.00	2.00	2
50	m	1	3	40.00	2.00	1
30	m	1	1	30.00	2.00	2
54	f	0	21	39.00	2.00	2
29	f	1	3	76.00	4.00	1
44	f	1	13	74.00	3.00	2
23	m	0	0	24.00	1.00	1
35	f	0	7	56.00	3.00	1
24	m	0	5	22.00	1.00	1
49	f	1	21	117.00	4.00	3
51	f	1	1	130.00	4.00	3
32	m	0	1	26.00	2.00	2
56	m	1	1	36.00	2.00	2
38	f	1	14	48.00	2.00	1
61	m	1	8	11.00	1.00	2
55	m	0	13	188.00	4.00	3
48	f	1	3	25.00	2.00	2
51	m	1	2	48.00	2.00	2
20	m	1	0	19.00	1.00	1
68	m	1	23	22.00	1.00	3
46	f	0	23	31.00	2.00	2
35	m	1	15	59.00	3.00	1
23	m	0	3	13.00	1.00	1
72	f	0	49	23.00	1.00	2
21	m	1	2	17.00	1.00	1
57	f	1	24	181.00	4.00	2
36	m	0	2	40.00	2.00	2
61	m	0	17	837.00	4.00	3
27	m	1	8	43.00	2.00	1
44	m	0	15	100.00	4.00	3
43	m	1	5	144.00	4.00	3
32	m	0	12	54.00	3.00	2
28	f	1	7	86.00	4.00	1
27	f	0	0	25.00	2.00	1
46	m	1	23	34.00	2.00	2
51	f	0	13	51.00	3.00	2
21	f	0	0	25.00	2.00	1
38	f	0	3	29.00	2.00	2
41	m	0	1	69.00	3.00	3
47	f	0	22	232.00	4.00	3
37	f	0	18	46.00	2.00	3
51	f	1	12	32.00	2.00	1
48	m	1	16	29.00	2.00	3
41	f	1	10	67.00	3.00	3
27	f	0	6	31.00	2.00	2
24	m	0	5	13.00	1.00	1
30	m	1	8	38.00	2.00	1
39	m	0	15	35.00	2.00	2
38	f	1	14	29.00	2.00	2
45	f	0	12	70.00	3.00	2
44	f	1	24	25.00	2.00	1
38	m	0	12	24.00	1.00	2
32	f	0	7	25.00	2.00	1
35	m	0	7	37.00	2.00	2
58	m	1	19	19.00	1.00	1
31	m	1	10	27.00	2.00	2
43	m	1	21	107.00	4.00	3
38	f	1	18	77.00	4.00	3
64	f	0	40	16.00	1.00	3
62	f	0	21	17.00	1.00	3
44	f	0	13	104.00	4.00	2
41	f	1	9	25.00	2.00	1
26	m	1	7	15.00	1.00	1
48	f	0	27	371.00	4.00	3
76	f	0	51	24.00	1.00	3
60	m	1	18	355.00	4.00	3
26	m	1	0	20.00	1.00	1
53	m	1	30	42.00	2.00	1
59	m	1	37	30.00	2.00	2
45	f	0	3	86.00	4.00	3
23	f	1	2	27.00	2.00	1
66	f	1	32	11.00	1.00	2
49	m	0	4	30.00	2.00	1
45	m	0	1	147.00	4.00	3
